Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000118785,SPP1,Gene Expression,0.522042614555569,0.0,0.0,2918,1.1128850449057577,868
ENSG00000211898,IGHD,Gene Expression,0.49743252132272797,0.0,0.0,8614,3.720602165563095,1416
ENSG00000159189,C1QC,Gene Expression,0.4636961404537112,0.0,0.0,27532,9.773748862127492,2203
ENSG00000173369,C1QB,Gene Expression,0.46050920792467825,0.0,0.0,40518,14.77406106135446,2296
ENSG00000135821,GLUL,Gene Expression,0.43789753300054,0.0,0.0,16753,5.776260440244549,2107
ENSG00000115414,FN1,Gene Expression,0.43665423294059696,0.0,0.0,175693,60.86319618212608,2393
ENSG00000126709,IFI6,Gene Expression,0.4286600262241558,0.0,0.0,19549,6.697108631997742,2197
ENSG00000129538,RNASE1,Gene Expression,0.4251238740187137,0.0,0.0,32703,12.083215599242369,2263
ENSG00000108821,COL1A1,Gene Expression,0.4079062804263115,0.0,0.0,18680,6.968611073671676,2191
ENSG00000211592,IGKC,Gene Expression,0.4078435128009062,0.0,0.0,1010576,359.02831750875833,2475
ENSG00000203747,FCGR3A,Gene Expression,0.4075277648163828,0.0,0.0,14683,5.282108226365005,2100
ENSG00000211896,IGHG1,Gene Expression,0.4050356122002107,0.0,0.0,198728,72.17179660265703,2416
ENSG00000025708,TYMP,Gene Expression,0.4035672802883255,0.0,0.0,14737,5.078537998902925,2129
ENSG00000211900,IGHJ6,Gene Expression,0.4031454900550589,0.0,0.0,275529,97.94070955714612,2434
ENSG00000149968,MMP3,Gene Expression,0.40301746043237774,0.0,0.0,49931,15.92521585531823,2222
ENSG00000167996,FTH1,Gene Expression,0.40086240557320046,0.0,0.0,56374,20.307568585728703,2342
ENSG00000211895,IGHA1,Gene Expression,0.39226241544865165,0.0,0.0,159489,49.81267610438761,2350
ENSG00000168542,COL3A1,Gene Expression,0.3922463907964788,0.0,0.0,35725,12.962487913285806,2260
ENSG00000026025,VIM,Gene Expression,0.38430738665017095,0.0,0.0,26741,9.351962964629584,2224
ENSG00000173372,C1QA,Gene Expression,0.37952530112956673,0.0,0.0,10304,3.5678933849315637,1983
ENSG00000142089,IFITM3,Gene Expression,0.3763561314819124,0.0,0.0,27974,10.139972756863555,2266
ENSG00000125148,MT2A,Gene Expression,0.37309578572227514,0.0,0.0,21458,7.310626467385928,2168
ENSG00000102265,TIMP1,Gene Expression,0.36675780922699397,0.0,0.0,22153,7.601955600290627,2203
ENSG00000165949,IFI27,Gene Expression,0.36423368978122966,0.0,0.0,25080,9.072046075389176,2260
